0,1,2,3
-15.977502,-14.888252,-17.233862,-16.040804
-15.018756,-13.810411,-16.53925,-16.199705
-14.058737,-12.832749,-14.840132,-15.129221
-12.796579,-11.774814,-14.214125,-14.078155
-11.672308,-10.736072,-15.881775,-13.007494
-10.965083,-10.150179,-11.574143,-11.856865
-9.491313,-8.369987,-14.516206,-10.803007
-8.375152,-7.328198,-9.617674,-9.720203
-7.3549957,-6.299547,-8.543042,-8.638532
-6.3138714,-5.2518096,-7.895619,-7.673544
-5.160287,-4.439561,-4.141381,-6.6571903
-4.143774,-4.0965,-3.4864786,-5.375014
-15.923385,-16.993233,-18.35817,-17.220533
-15.234814,-17.970545,-28.072346,-19.072927
-13.769507,-26.83487,-47.043972,-27.898243
-12.728424,-22.259699,-79.54707,-31.00945
-11.593744,-20.803549,-47.00292,-31.293882
-10.584157,-24.613321,-36.41613,-27.283394
-9.522944,-19.65688,-85.132034,-24.391184
-8.33306,-13.598427,-37.21534,-16.04581
-7.334885,-12.233508,-46.857746,-21.987545
-7.7460413,-4.1368914,-37.52535,-19.680763
-5.375105,-3.5010178,-3.0570686,-5.38682
-4.2972193,-3.0390074,-2.034635,-4.285839
-16.914406,-18.000715,-19.743128,-18.051346
-17.146662,-41.22584,-142.61835,-27.12947
-18.79161,-228.64833,-294.86792,-186.12546
-28.48738,-244.83601,-290.1871,-238.80759
-22.070139,-270.16403,-313.8861,-230.4264
-17.625145,-211.9161,-376.55872,-306.06363
-29.663603,-275.92535,-381.04013,-210.53177
-14.7904,-205.62082,-311.94745,-223.2473
-12.684409,-134.81395,-258.07492,-240.88441
-8.526346,-68.72293,-245.91704,-128.63945
-6.8875833,-2.0210779,-129.14888,-50.824196
-3.3414004,-2.190578,-0.99999976,-3.0896447
-17.902622,-118.14672,-21.937643,-28.018248
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
