reward,episode_length,success,cliff_fall
-2081.0,200,0,1
-1586.0,200,0,1
-2972.0,200,0,1
-1883.0,200,0,1
-1685.0,200,0,1
-1190.0,200,0,1
-3368.0,200,0,1
-1784.0,200,0,1
-2279.0,200,0,1
-1883.0,200,0,1
-2279.0,200,0,1
-3071.0,200,0,1
-3467.0,200,0,1
-2279.0,200,0,1
-2576.0,200,0,1
-1586.0,200,0,1
-1487.0,200,0,1
-2675.0,200,0,1
-2873.0,200,0,1
-2873.0,200,0,1
-1190.0,200,0,1
-3566.0,200,0,1
-2873.0,200,0,1
-1982.0,200,0,1
-1883.0,200,0,1
-2279.0,200,0,1
-2873.0,200,0,1
-2774.0,200,0,1
-1982.0,200,0,1
-3071.0,200,0,1
-1883.0,200,0,1
-1487.0,200,0,1
-3269.0,200,0,1
-2477.0,200,0,1
-1487.0,200,0,1
-1487.0,200,0,1
-1190.0,200,0,1
-1784.0,200,0,1
-2576.0,200,0,1
-2180.0,200,0,1
-2180.0,200,0,1
-58.0,58,1,0
-2675.0,200,0,1
-2081.0,200,0,1
-3665.0,200,0,1
-1289.0,200,0,1
-1685.0,200,0,1
-2081.0,200,0,1
-1487.0,200,0,1
-2180.0,200,0,1
-2180.0,200,0,1
-1685.0,200,0,1
-1685.0,200,0,1
-3467.0,200,0,1
-2378.0,200,0,1
-2477.0,200,0,1
-1883.0,200,0,1
-1883.0,200,0,1
-2378.0,200,0,1
-1685.0,200,0,1
-1784.0,200,0,1
-2972.0,200,0,1
-372.0,75,1,1
-2378.0,200,0,1
-1487.0,200,0,1
-1190.0,200,0,1
-1982.0,200,0,1
-1982.0,200,0,1
-1388.0,200,0,1
-1982.0,200,0,1
-2972.0,200,0,1
-2279.0,200,0,1
-1091.0,200,0,1
-2378.0,200,0,1
-1982.0,200,0,1
-2873.0,200,0,1
-1883.0,200,0,1
-2279.0,200,0,1
-1784.0,200,0,1
-1784.0,200,0,1
-2180.0,200,0,1
-1982.0,200,0,1
-1487.0,200,0,1
-2873.0,200,0,1
-3566.0,200,0,1
