reward,episode_length,success,illegal_actions
-713.0,200,0,57
-803.0,200,0,67
-794.0,200,0,66
-767.0,200,0,63
-722.0,200,0,58
-758.0,200,0,62
-839.0,200,0,71
-704.0,200,0,56
-722.0,200,0,58
-830.0,200,0,70
-749.0,200,0,61
-758.0,200,0,62
-464.0,125,1,40
-794.0,200,0,66
-875.0,200,0,75
-744.0,198,1,63
-794.0,200,0,66
-821.0,200,0,69
-848.0,200,0,72
-722.0,200,0,58
-803.0,200,0,67
-848.0,200,0,72
-812.0,200,0,68
-911.0,200,0,79
-866.0,200,0,74
-776.0,200,0,64
-722.0,200,0,58
-547.0,136,1,48
-767.0,200,0,63
-794.0,200,0,66
-776.0,200,0,64
-294.0,108,1,23
-614.0,200,0,46
-695.0,200,0,55
-731.0,200,0,59
-767.0,200,0,63
-830.0,200,0,70
-902.0,200,0,78
-731.0,200,0,59
-830.0,200,0,70
-785.0,200,0,65
-803.0,200,0,67
-758.0,200,0,62
-767.0,200,0,63
-821.0,200,0,69
-478.0,139,1,40
-767.0,200,0,63
-713.0,200,0,57
-767.0,200,0,63
-713.0,200,0,57
-821.0,200,0,69
-722.0,200,0,58
-722.0,200,0,58
-821.0,200,0,69
-848.0,200,0,72
-839.0,200,0,71
-857.0,200,0,73
-794.0,200,0,66
-722.0,200,0,58
-740.0,200,0,60
-803.0,200,0,67
-812.0,200,0,68
-722.0,200,0,58
-839.0,200,0,71
-794.0,200,0,66
-776.0,200,0,64
-722.0,200,0,58
-812.0,200,0,68
-776.0,200,0,64
-866.0,200,0,74
-785.0,200,0,65
-812.0,200,0,68
-794.0,200,0,66
-767.0,200,0,63
-866.0,200,0,74
-740.0,200,0,60
-812.0,200,0,68
-803.0,200,0,67
-902.0,200,0,78
-857.0,200,0,73
-677.0,200,0,53
-812.0,200,0,68
-758.0,200,0,62
-893.0,200,0,77
-632.0,200,0,48
-237.0,78,1,20
-857.0,200,0,73
-803.0,200,0,67
-695.0,200,0,55
-338.0,80,1,31
-794.0,200,0,66
-785.0,200,0,65
-749.0,200,0,61
-803.0,200,0,67
-875.0,200,0,75
-821.0,200,0,69
-803.0,200,0,67
-767.0,200,0,63
-767.0,200,0,63
-758.0,200,0,62
-749.0,200,0,61
-785.0,200,0,65
-785.0,200,0,65
-677.0,200,0,53
-911.0,200,0,79
-794.0,200,0,66
-839.0,200,0,71
-893.0,200,0,77
-821.0,200,0,69
-668.0,200,0,52
-803.0,200,0,67
-839.0,200,0,71
-812.0,200,0,68
-749.0,200,0,61
-686.0,200,0,54
-875.0,200,0,75
-776.0,200,0,64
-767.0,200,0,63
-767.0,200,0,63
-641.0,200,0,49
-794.0,200,0,66
-875.0,200,0,75
-884.0,200,0,76
-776.0,200,0,64
-659.0,200,0,51
-803.0,200,0,67
-776.0,200,0,64
-520.0,145,1,44
-848.0,200,0,72
-902.0,200,0,78
-785.0,200,0,65
-848.0,200,0,72
-767.0,200,0,63
-812.0,200,0,68
-893.0,200,0,77
-689.0,188,1,58
-749.0,200,0,61
-803.0,200,0,67
-893.0,200,0,77
-938.0,200,0,82
-857.0,200,0,73
-821.0,200,0,69
-659.0,200,0,51
-902.0,200,0,78
-740.0,200,0,60
-803.0,200,0,67
-938.0,200,0,82
-614.0,200,0,46
-848.0,200,0,72
-577.0,157,1,49
-776.0,200,0,64
-839.0,200,0,71
-740.0,200,0,60
-534.0,150,1,45
-794.0,200,0,66
-848.0,200,0,72
-839.0,200,0,71
-632.0,200,0,48
-812.0,200,0,68
-875.0,200,0,75
-875.0,200,0,75
-857.0,200,0,73
-677.0,200,0,53
-839.0,200,0,71
-866.0,200,0,74
-767.0,200,0,63
-161.0,56,1,14
-785.0,200,0,65
-767.0,200,0,63
-812.0,200,0,68
-650.0,200,0,50
-695.0,200,0,55
-749.0,200,0,61
-749.0,200,0,61
-812.0,200,0,68
-713.0,200,0,57
-848.0,200,0,72
-821.0,200,0,69
