episode_return,episode_length,quality_flag
-1281.70801,200,0
-1520.646964,200,0
-1369.206571,200,0
-1139.625252,200,0
-1479.985572,200,0
-879.307084,200,0
-938.961311,200,0
-1247.423992,200,0
-895.284938,200,0
-1434.334601,200,0
-1332.587391,200,0
-1692.961463,200,0
-1408.776576,200,0
-881.834846,200,0
-1088.377787,200,0
-1038.582191,200,0
-970.583247,200,0
-970.103968,200,0
-1337.152911,200,0
-1350.290023,200,0
-885.351405,200,0
-1256.971926,200,0
-1255.993335,200,0
-1075.326,200,0
-966.256012,200,0
-1359.068766,200,0
-1698.749034,200,0
-1503.959404,200,0
-1351.928877,200,0
-1509.067376,200,0
-1271.796803,200,0
-1075.803374,200,0
-956.396046,200,0
-527.916404,200,0
-1516.152599,200,0
-269.706668,200,1
-283.837567,200,1
-1510.183187,200,0
-127.984933,200,1
-129.143071,200,1
-128.392151,200,1
-131.602639,200,1
-231.640551,200,1
-125.990315,200,1
-248.325482,200,1
-246.521414,200,1
-4.577086,200,1
-125.571797,200,1
-123.994367,200,1
-247.060461,200,1
-237.750724,200,1
-124.840616,200,1
-115.861046,200,1
-127.723887,200,1
-245.260304,200,1
-130.434149,200,1
-123.891227,200,1
-123.474027,200,1
-118.454605,200,1
-4.422786,200,1
-126.614796,200,1
-227.682769,200,1
-236.367879,200,1
-122.632296,200,1
-230.20313,200,1
-122.233519,200,1
-128.853142,200,1
-3.651787,200,1
-370.783261,200,0
-119.850988,200,1
-0.759685,200,1
-234.095712,200,1
-1.443824,200,1
-126.47483,200,1
-127.715558,200,1
-115.730569,200,1
-232.930172,200,1
-237.947883,200,1
-124.107039,200,1
-118.644261,200,1
-251.088831,200,1
-116.75625,200,1
-3.789782,200,1
-117.537508,200,1
-132.994105,200,1
-125.151514,200,1
-120.535498,200,1
-114.403136,200,1
-2.568665,200,1
-224.021257,200,1
-223.917172,200,1
-1.810217,200,1
-118.292441,200,1
-127.855301,200,1
-120.805278,200,1
-242.460536,200,1
-250.297924,200,1
-245.114969,200,1
