episode_return,episode_length,quality_flag
-1278.777925,200,0
-1570.865947,200,0
-1363.315888,200,0
-1257.503101,200,0
-1495.251077,200,0
-911.945248,200,0
-863.111727,200,0
-1208.778346,200,0
-888.343912,200,0
-1399.399067,200,0
-1339.212424,200,0
-1699.259062,200,0
-1396.314451,200,0
-874.538894,200,0
-1117.414229,200,0
-961.248302,200,0
-876.919685,200,0
-972.106011,200,0
-1329.012001,200,0
-1381.335894,200,0
-860.466321,200,0
-1272.832243,200,0
-1267.612259,200,0
-1078.114964,200,0
-967.609038,200,0
-969.465639,200,0
-1321.396894,200,0
-1359.913458,200,0
-1441.480983,200,0
-1752.003252,200,0
-1465.807192,200,0
-1291.556091,200,0
-1227.323378,200,0
-1134.526901,200,0
-1285.556323,200,0
-1047.819143,200,0
-913.724952,200,0
-984.227926,200,0
-385.982475,200,0
-257.151583,200,1
-126.993797,200,1
-258.539242,200,1
-360.189806,200,0
-124.862163,200,1
-247.013306,200,1
-251.471199,200,1
-129.440026,200,1
-123.766324,200,1
-124.19189,200,1
-250.065196,200,1
-238.321611,200,1
-125.761211,200,1
-118.133674,200,1
-128.219379,200,1
-254.229398,200,1
-129.553848,200,1
-122.34381,200,1
-124.534987,200,1
-117.391737,200,1
-2.716678,200,1
-125.055831,200,1
-232.464671,200,1
-242.245214,200,1
-120.972476,200,1
-234.145262,200,1
-125.257726,200,1
-128.448187,200,1
-3.445862,200,1
-244.290908,200,1
-120.504713,200,1
-0.745214,200,1
-236.940291,200,1
-1.106394,200,1
-122.673246,200,1
-128.703584,200,1
-114.704265,200,1
-238.404201,200,1
-237.591491,200,1
-120.781423,200,1
-117.215987,200,1
-249.586623,200,1
-114.498139,200,1
-1.651885,200,1
-115.460212,200,1
-123.172092,200,1
-120.63537,200,1
-121.561222,200,1
-113.76989,200,1
-1.820779,200,1
-232.705886,200,1
-231.351809,200,1
-0.709726,200,1
-116.513644,200,1
-123.648488,200,1
-118.943044,200,1
-260.393103,200,1
