reward,episode_length,successful_landing
-112.15270121087059,116,0
-239.36435599953697,78,0
-326.5311118388968,95,0
-219.03679748688694,98,0
-312.04809902095,81,0
-64.21805729289959,125,0
-263.46992038001247,79,0
-416.8464814409186,130,0
-23.784960062796628,67,0
-131.66625035135343,108,0
-235.29163782550242,63,0
-99.69985677617161,97,0
-102.92851703207322,71,0
-145.26049758822234,69,0
-252.6961229467849,63,0
-316.8648969628165,99,0
-118.72769213899818,91,0
-388.8512756026782,94,0
-270.9307944938058,109,0
-132.20878459536345,114,0
-158.97538513564984,70,0
-165.0120047397183,84,0
-155.22698864411626,63,0
-371.34390518938716,94,0
-268.81267171347304,109,0
-96.71863936528598,117,0
-360.6948173298834,90,0
-362.94827868168267,91,0
-85.36546140643144,59,0
-197.91230429974576,95,0
-202.99552295705854,88,0
-166.9292818055244,103,0
-215.5206266895286,117,0
-252.005098222133,72,0
-103.18606041183037,77,0
-392.3613392405782,69,0
-232.88536967927192,94,0
-170.0421769310309,56,0
-303.0703561135987,103,0
-101.80755554211373,110,0
-123.64369983632531,59,0
-102.39407765926175,80,0
-82.42497723302498,76,0
-426.27328556098524,98,0
-131.54309486171965,83,0
-227.6676634043718,66,0
-163.00379335753706,79,0
-93.98552222673153,76,0
-157.99552361613897,98,0
-138.2975523012778,106,0
-118.26994490464035,81,0
-304.31553719359397,93,0
-114.94498042523479,68,0
-12.499808074262248,117,0
-248.3536884562132,87,0
-154.4918769459313,134,0
-238.09174730631827,92,0
-283.1946600903816,81,0
-69.14586910000847,99,0
-95.09654064692151,62,0
-146.676038344925,91,0
-93.50032057242713,122,0
-251.43875619363888,143,0
-197.74413758552228,71,0
-151.62532133229078,84,0
-380.6319577132161,81,0
-75.27579644724622,68,0
-127.02992838242453,67,0
-442.4453168940799,92,0
-167.1946037176025,96,0
-318.4997471488216,96,0
-97.76141228862686,65,0
-86.42648974919172,63,0
-62.4565401646094,69,0
-346.4294643825858,98,0
-310.1233165686408,114,0
-151.9165565516334,95,0
-183.56679531856105,92,0
-129.17820604630916,72,0
-125.52640515169813,96,0
-90.8374451859337,62,0
-89.80361311397162,71,0
-111.99471580202632,81,0
-209.79713386957474,120,0
-366.15775635901514,101,0
-209.76567604425014,85,0
-129.8606385166562,90,0
-167.31013758563574,86,0
-102.5119905802612,72,0
-116.2349936007549,64,0
-256.6633551762642,115,0
-239.73625862291374,99,0
-113.92280235817707,79,0
-201.0116836639716,115,0
-404.9228562853873,93,0
-81.30993263233071,96,0
-116.31929880800845,84,0
-84.93915532902155,129,0
-91.4939371180829,78,0
-282.89460245381093,101,0
-237.89699030010266,104,0
-110.29364519459007,118,0
-306.88042404651264,112,0
-143.4675952953757,105,0
-40.76396753005427,108,0
-104.00942829632625,63,0
-390.3569269217156,72,0
-134.660290910813,96,0
-253.22075010912508,103,0
-220.13383051149407,75,0
-248.71984238258872,110,0
-321.58094193067006,93,0
-256.82511485715565,77,0
-158.62148735716437,68,0
-370.7379401122372,119,0
-115.45746940766334,109,0
-158.3261279551833,72,0
-120.34443652182128,88,0
-144.8633456543855,96,0
-231.01707391185488,93,0
-149.416748784896,135,0
