reward,episode_length,successful_landing
-100.55524212653188,119,0
-181.22267710889503,69,0
-401.3023554666297,99,0
-252.85600817494026,89,0
-362.26234750524594,78,0
-296.0742712520995,122,0
-148.46162977645054,77,0
-304.37186133646395,87,0
-104.51151573832367,70,0
-288.14154017811865,91,0
-4.882585356668045,79,0
-233.95392761239705,102,0
-120.69633729651298,68,0
-106.8015891519324,75,0
-215.43170092721763,61,0
-256.37906891071765,104,0
-314.1311197206504,85,0
-80.9033337626291,125,0
-460.89296852756024,106,0
-388.1744492737001,101,0
-326.67724333050774,69,0
-250.291621232054,74,0
-165.2786764566039,67,0
-575.9026798197945,80,0
-330.8998130737877,92,0
-178.6788636639119,97,0
-227.78676118936136,109,0
-166.3859135642053,93,0
-88.11021613185383,61,0
-220.04546245447398,88,0
-86.65973051190804,83,0
-280.3693198009813,108,0
-334.2064256574298,126,0
-264.8554044679645,85,0
-97.3755212207788,78,0
6.330324243009926,105,0
-300.9480185448775,108,0
-191.70236171049143,58,0
-163.4947829356684,77,0
-150.20823845691794,143,0
-148.61723580998387,67,0
-146.04169079573194,86,0
-375.84843277301246,82,0
-330.0560037870015,101,0
-52.07008031530178,83,0
-114.21148032635494,66,0
-62.95434374691683,72,0
-361.8194458741335,82,0
-114.20185050616465,113,0
-273.61612849536783,94,0
-137.23381804828082,83,0
-207.886466822265,101,0
-172.22238644649337,66,0
-222.8897998137047,118,0
-120.5535116548215,86,0
-112.56204313590484,120,0
-116.68956230497804,79,0
-143.1077805088963,81,0
-293.57670650172025,105,0
-58.913175000615595,71,0
-183.43547965648247,99,0
-35.50494467504548,136,0
-361.67180567068976,97,0
-95.53314992674548,72,0
-226.2655219782119,80,0
-103.44429270535997,70,0
-74.22636518418464,62,0
-126.78248625081463,77,0
-113.41508989476246,88,0
-161.88783316024637,85,0
-147.21156221859061,116,0
-82.08178947103796,67,0
-84.75726299984095,64,0
-81.08051551722062,67,0
-166.04497583323945,105,0
-377.5357598958058,91,0
-127.56052420208893,92,0
-354.88003555988934,104,0
-84.25969834589165,68,0
-317.43405943915536,85,0
-269.910265757728,84,0
-152.23080741028878,65,0
-241.1782546478559,84,0
-190.08010911023482,99,0
-397.82140408915154,91,0
-348.11397270103384,83,0
-280.8245289331373,103,0
-439.01744415380665,89,0
-100.06852259238693,65,0
-101.86552752125866,67,0
-251.2134427125169,114,0
-305.5195290902126,120,0
-100.98381429518312,73,0
-390.6124588906887,95,0
-330.0350221873969,97,0
-303.61988705195176,97,0
-169.23328941406135,77,0
-229.53124835736685,142,0
-122.39103553078957,77,0
-219.08095294335772,110,0
-198.7380259946497,101,0
-168.74084807823448,112,0
-98.16987294753554,66,0
-109.42836488599443,100,0
-162.01776790363465,90,0
41.38413748928798,72,0
-75.92182434053501,85,0
-242.7127467287752,91,0
-140.17267601910567,114,0
-165.27429930015722,78,0
-155.7263010833467,124,0
-287.20692430286607,104,0
-269.8080396717804,74,0
-174.39345675019808,64,0
-411.6038584963301,107,0
-249.13713449485715,123,0
-101.58034495398964,61,0
-130.5683236368085,78,0
-233.38913552187586,107,0
-282.23570459996085,92,0
-190.6802075070825,132,0
-300.63122573769266,81,0
-290.4197390470746,98,0
-8.491155658114849,91,0
-140.19539159908163,110,0
31.707474361221045,82,0
-146.65348734140213,71,0
-335.40967250452366,96,0
-266.67497673059444,70,0
-216.98932517668186,72,0
-128.32317925488962,73,0
-62.48049727741284,63,0
-107.42385314792523,83,0
-433.52071540889347,96,0
-131.80473328982242,67,0
-124.84112206353743,76,0
-315.9160856510749,113,0
-101.9563235213747,70,0
-259.19725910658883,95,0
-230.96437444857716,141,0
-301.02213518553395,130,0
-387.8598299741337,97,0
-142.25904825524356,75,0
-231.36479613118576,71,0
-127.88603651112086,86,0
-269.0814665838401,106,0
-190.37323195067856,123,0
-70.31278242651194,77,0
-49.59000719947272,131,0
-115.90363078991417,119,0
-36.518142893385836,64,0
-93.47293130783251,86,0
-260.0472065619265,118,0
-278.06606377682255,102,0
-114.48449650431714,95,0
-220.93884362259803,69,0
-85.30162946349057,115,0
-133.41520107585194,118,0
-352.99511167068965,99,0
-83.29296226114414,61,0
-1.526458694723388,98,0
-168.03839665299205,140,0
-228.87219106733681,70,0
-235.65940182686595,116,0
-248.05151560518095,60,0
-17.60177903515475,122,0
-246.0462286010406,76,0
-108.0860903701453,73,0
-116.03945321633459,116,0
-130.93597708264812,116,0
-93.19062429394101,85,0
-263.9102817478763,89,0
-127.77204487149051,92,0
-228.4618385538023,100,0
-177.98307517665836,100,0
-103.66774280791434,108,0
-117.52006139626802,122,0
-5.443294090450834,144,0
-180.90326187763122,71,0
-176.81308155940906,70,0
-71.29197508189979,66,0
-160.05576730856464,104,0
-148.12064816016476,80,0
-117.70999571966817,92,0
-90.4524219705567,71,0
-192.41128222379345,80,0
-77.5928784314716,57,0
-173.34723603464516,106,0
-118.13471041658883,83,0
-83.5833361504744,80,0
-121.85484369055114,93,0
-143.8173275040652,99,0
-235.88873405593333,100,0
-114.49621126139992,66,0
-162.93037517465854,66,0
-333.4544471974365,78,0
-202.8227019921393,102,0
-175.879056482998,97,0
-160.37160352888225,102,0
-102.42789433499193,105,0
-385.5394311176692,121,0
-263.3120340513476,108,0
-89.91815142585556,94,0
-146.95915721350116,74,0
-135.61950050732193,67,0
-355.96347360499453,112,0
-91.93779322149555,63,0
-91.97739840725798,77,0
-277.70707204671174,98,0
-93.0609871109699,63,0
-310.05545517538576,126,0
-449.3315956464757,101,0
-50.316097445850836,68,0
-71.74344722276896,80,0
-279.00052963998144,139,0
-257.3772068009313,104,0
-91.68515294397946,60,0
-114.13545889097524,101,0
-88.68186960451604,79,0
-457.3626115379368,113,0
-136.4807137938909,110,0
-165.78072716880936,103,0
-108.5858139667457,75,0
-43.08819127790899,82,0
-150.4437809358318,90,0
-2.589122849156098,134,0
-107.73878299158089,58,0
-383.26012267516643,137,0
30.22081999267391,81,0
-104.16252909318875,65,0
-104.86925756673237,97,0
-348.5009507515013,141,0
-409.28778245074136,87,0
-385.5425152316191,105,0
13.187091250534069,1000,0
-150.74855212546174,88,0
-140.30910910179753,84,0
-328.30480506924346,85,0
-154.2554376098,77,0
-89.97641747911554,100,0
-321.4870804953898,85,0
-64.74102233531957,75,0
-121.96026122904098,116,0
-300.2427359627004,111,0
-118.49511334491766,66,0
-215.26491165972783,102,0
-102.58815594642195,71,0
-274.0987003796372,104,0
-227.8579445627623,92,0
-66.01338648706101,74,0
-119.87681733977874,124,0
-118.10930363487527,92,0
-107.25553462298691,82,0
-132.8585690456078,143,0
-112.83510511980859,69,0
-78.28336620854797,63,0
-276.1238397092498,73,0
4.4473739962601115,96,0
-317.1714822641006,117,0
-326.0290179609749,96,0
-9.249698896855861,67,0
-188.5112621075187,94,0
-119.70371756525472,57,0
-109.89767864592122,64,0
-97.06502764375219,76,0
-73.90433877725668,63,0
30.170442661577084,95,0
-203.14005225584322,91,0
-138.60220895471025,80,0
-90.6013753050128,76,0
-109.70139128595481,73,0
-67.48620567987675,123,0
-120.63046732926054,103,0
-295.5198170991302,93,0
-240.83133473710217,136,0
-96.06735266612603,84,0
-195.24804131421183,101,0
-86.00207930381046,63,0
-165.19339323559487,66,0
-272.52993384582476,81,0
-205.244347302766,86,0
-114.461846529386,86,0
-132.25847545815645,92,0
-159.614343120854,93,0
-82.51746302975425,116,0
-123.40633967858393,101,0
-225.331326247434,101,0
-154.38060826270328,100,0
-142.94248033410543,110,0
-112.37769157678446,75,0
-76.48700095673814,101,0
-247.40496214278681,110,0
-252.8474440063444,110,0
-226.52790923912718,84,0
-34.3559200448578,122,0
-206.1066258261326,78,0
-374.7220183595585,80,0
-327.4867799014298,108,0
-136.5230355220515,91,0
-431.17115331254615,119,0
-196.11306998629647,95,0
-64.66609582219345,67,0
-31.675416058025604,103,0
21.051114657891887,99,0
-105.03145193293074,68,0
-223.7058412322079,120,0
-399.6195138878196,111,0
-166.89827833985134,113,0
-120.41370457287815,76,0
-124.05233845022994,79,0
-137.35915653579065,134,0
-96.71345911535856,63,0
-232.22364983061883,77,0
-141.10557636347323,73,0
-95.13464032429822,65,0
-143.567984446786,123,0
-129.9345758773089,85,0
-98.40226894733651,58,0
-347.1094357024763,94,0
-159.92615244336557,98,0
-114.14327413415177,59,0
-397.42386483185476,84,0
-85.8115151985549,113,0
-183.17977632611817,102,0
-136.84598110690547,82,0
-150.98579075234284,102,0
-88.72995444209333,104,0
-123.60305421501647,60,0
-139.397170452339,66,0
-286.82366855247756,86,0
-116.14161018656691,86,0
-88.99445112110459,63,0
-97.08572609090865,70,0
-344.2266898372319,139,0
-205.50668480745117,106,0
-75.82118164587337,127,0
-148.52234557366376,69,0
-86.8385610151563,94,0
-164.0381408186342,97,0
1.6419987896651236,70,0
-332.0701159950763,93,0
-90.39324254996467,90,0
-229.14023274495244,67,0
-66.54735317133108,92,0
-157.42237771667942,139,0
-148.35018657353913,118,0
-80.70958159635865,66,0
-140.5530756909804,99,0
-116.90968724292,88,0
-266.7884362259483,93,0
-99.68957060590714,81,0
-246.0226953492271,78,0
-55.838240644989824,62,0
-167.029757357861,94,0
-349.2187716670578,96,0
-78.81861961379043,104,0
-149.54146392547204,79,0
-66.07296786075497,103,0
-11.84428869815747,63,0
-193.12731805122093,114,0
-337.8269851502684,100,0
-58.283744803398164,116,0
-458.2342863019559,94,0
-129.3965035064721,78,0
-307.75454161291225,88,0
-143.70738540485868,89,0
-99.75785653362061,64,0
-314.5200448143789,104,0
-141.85606847546873,59,0
-105.2712219571213,116,0
-270.87921626949515,112,0
-103.91130850692724,129,0
-434.254982064656,93,0
-40.984334781583186,65,0
-135.55475053711064,111,0
-247.31313708570565,112,0
-346.3649688873983,98,0
-111.70173387325653,87,0
-107.25444611264173,105,0
-249.34506216985324,105,0
