episode_return,episode_length,success
-110.12014770507812,48,0
-112.76034545898438,54,0
-107.77002716064453,56,0
-102.4483642578125,59,0
-102.85964965820312,60,0
-116.85515594482422,66,0
-114.65900421142578,72,0
-104.02762603759766,72,0
-103.59382629394531,74,0
-105.99938201904297,75,0
-119.20004272460938,77,0
-105.99071502685547,78,0
-119.78203582763672,81,0
-106.17729949951172,89,0
-116.43280792236328,94,0
-106.08097076416016,98,0
-113.15345764160156,105,0
-105.52171325683594,63,0
-116.08956909179688,63,0
-106.76615905761719,61,0
-102.33293151855469,118,0
-113.21585083007812,53,0
-105.41514587402344,66,0
-107.95475006103516,53,0
-113.49835205078125,64,0
-108.41426086425781,54,0
-102.17984771728516,107,0
-119.84635162353516,68,0
-125.23531341552734,86,0
-106.77310180664062,68,0
-120.36172485351562,96,0
-133.0068359375,166,0
-111.48311614990234,53,0
-106.74087524414062,56,0
-112.19449615478516,54,0
-115.5651626586914,69,0
-100.88482666015625,65,0
-98.687255859375,84,0
-107.17625427246094,97,0
-98.9929428100586,70,0
-104.48926544189453,114,0
-112.8695068359375,57,0
-113.46299743652344,65,0
-124.58873748779297,134,0
-123.86611938476562,87,0
-109.69498443603516,87,0
-130.27500915527344,119,0
-108.95022583007812,84,0
-118.98432922363281,67,0
-96.80337524414062,1600,0
-106.05989837646484,1600,0
-103.70478057861328,1600,0
-120.59615325927734,1600,0
-116.81204223632812,1600,0
-123.58363342285156,1600,0
-102.13407135009766,58,0
-103.41512298583984,63,0
-115.53551483154297,1600,0
-99.16818237304688,69,0
-109.53491973876953,1600,0
-114.15267181396484,1600,0
-104.74974822998047,77,0
-125.6282958984375,1600,0
-105.02086639404297,80,0
-105.12138366699219,1600,0
-124.45894622802734,1600,0
-116.9961929321289,1600,0
-107.3972396850586,106,0
-112.49556732177734,1600,0
-111.65161895751953,1600,0
-104.97981262207031,1600,0
-103.78278350830078,63,0
-110.66403198242188,1600,0
-114.26850891113281,61,0
-115.37295532226562,71,0
-103.34738159179688,81,0
-102.02994537353516,78,0
-107.11975860595703,1600,0
-98.04505157470703,88,0
-100.49127197265625,91,0
-112.59429168701172,72,0
-109.93216705322266,91,0
-103.34201049804688,58,0
-102.2947769165039,122,0
-104.95693969726562,117,0
-124.111572265625,118,0
-121.58464050292969,121,0
-101.0165786743164,1600,0
-99.4197769165039,68,0
-103.12191009521484,97,0
-101.40716552734375,89,0
-111.0241470336914,1600,0
-108.09796905517578,41,0
-129.8985137939453,1600,0
-107.45416259765625,53,0
-105.17770385742188,96,0
-120.70409393310547,106,0
-119.71544647216797,1600,0
-115.55465698242188,64,0
-114.14318084716797,81,0
-104.51750183105469,1600,0
-113.79486846923828,47,0
-118.29857635498047,1600,0
-103.73564147949219,118,0
-109.41952514648438,70,0
-116.85346984863281,67,0
-118.50251007080078,82,0
-96.2564468383789,1600,0
-107.32191467285156,1600,0
-96.83519744873047,1600,0
-102.47574615478516,1600,0
-91.24542236328125,1600,0
-109.47736358642578,1600,0
-116.5760726928711,59,0
-111.82069396972656,45,0
-103.17953491210938,1600,0
-105.8095703125,1600,0
-99.81983947753906,1600,0
-114.51187896728516,76,0
-104.66320037841797,1600,0
-116.73892974853516,90,0
-109.30875396728516,1600,0
-108.181396484375,1600,0
-116.03238677978516,92,0
-110.50152587890625,60,0
-108.26332092285156,94,0
-123.23041534423828,1600,0
-114.53624725341797,68,0
-104.24488830566406,1600,0
-104.31246948242188,1600,0
-107.34903717041016,67,0
-110.42811584472656,64,0
-111.01325988769531,54,0
-96.48194122314453,1600,0
-102.03108978271484,64,0
-110.92118835449219,1600,0
-96.59921264648438,1600,0
-111.84359741210938,1600,0
-113.69805908203125,60,0
-110.50302124023438,156,0
-96.47969055175781,1600,0
-115.96134948730469,134,0
-111.4808578491211,1600,0
-107.52860260009766,44,0
-117.69491577148438,73,0
-105.18890380859375,78,0
-105.43611145019531,89,0
-109.61615753173828,97,0
-109.36797332763672,66,0
-110.54266357421875,93,0
-99.01382446289062,1600,0
-101.50165557861328,76,0
-110.87625885009766,57,0
-107.70320129394531,95,0
-116.5788345336914,96,0
-94.37977600097656,1600,0
-114.51575469970703,78,0
-110.94589233398438,1600,0
-106.8832015991211,59,0
-87.41773986816406,1600,0
-105.6447982788086,1600,0
-88.1419677734375,1600,0
-106.74758911132812,1600,0
-103.0124282836914,1600,0
-106.99754333496094,78,0
-92.16648864746094,1600,0
-112.5246353149414,53,0
-90.77101135253906,1600,0
-87.62039184570312,1600,0
-100.94618225097656,82,0
-100.20864868164062,1600,0
-112.39900970458984,1600,0
-92.39446258544922,1600,0
-93.26055145263672,1600,0
-112.69129180908203,77,0
-108.02433776855469,63,0
-106.48153686523438,89,0
-115.40789031982422,60,0
-108.96277618408203,53,0
-87.92546844482422,1600,0
-84.98824310302734,1600,0
-90.29346466064453,1600,0
-84.59252166748047,1600,0
-97.50102233886719,1600,0
-85.33059692382812,1600,0
-88.3630599975586,1600,0
-109.7977066040039,1600,0
-116.08558654785156,73,0
-104.03516387939453,1600,0
-114.60702514648438,74,0
-112.94791412353516,55,0
-95.0811767578125,1600,0
-91.67500305175781,1600,0
-89.0094223022461,1600,0
-92.3242416381836,1600,0
-93.2049789428711,1600,0
-88.67606353759766,1600,0
-91.66400146484375,1600,0
-118.38673400878906,70,0
-87.3258056640625,1600,0
-84.09207916259766,1600,0
-82.4756851196289,1600,0
-87.2087173461914,1600,0
-91.56988525390625,1600,0
-80.60326385498047,1600,0
-92.02885437011719,1600,0
-93.15758514404297,1600,0
-110.18778228759766,57,0
-95.7965087890625,1600,0
-105.81084442138672,119,0
-90.24258422851562,1600,0
-87.09371948242188,1600,0
-116.76862335205078,72,0
-91.34443664550781,1600,0
-86.83613586425781,1600,0
-97.39539337158203,1600,0
-110.89859008789062,91,0
-100.72264862060547,94,0
-92.11627960205078,1600,0
-96.9388427734375,1600,0
-86.92327880859375,1600,0
-92.12860107421875,1600,0
-97.12505340576172,1600,0
-101.56275939941406,1600,0
-101.79566955566406,1600,0
-96.26648712158203,1600,0
-80.7864990234375,1600,0
-82.16191864013672,1600,0
-91.802490234375,1600,0
-100.72706604003906,1600,0
-118.52410888671875,77,0
-78.68647766113281,1600,0
-89.66954040527344,1600,0
-92.65621948242188,1600,0
-90.56818389892578,1600,0
-79.50252532958984,1600,0
-96.07296752929688,1600,0
-89.98133087158203,1600,0
-116.31922149658203,62,0
-86.37616729736328,1600,0
-112.5534439086914,109,0
-109.30596160888672,48,0
-90.266357421875,1600,0
-111.01603698730469,63,0
-96.11846160888672,1600,0
-117.7364273071289,62,0
-85.39063262939453,1600,0
-95.08972930908203,1600,0
-99.86677551269531,1600,0
-87.47607421875,1600,0
-81.04658508300781,1600,0
-89.37278747558594,1600,0
-98.19010162353516,1600,0
-89.23033905029297,1600,0
-107.5449447631836,89,0
-84.79313659667969,1600,0
-92.05780029296875,1600,0
-112.7821273803711,117,0
-94.68588256835938,1600,0
-85.35004425048828,1600,0
-78.40510559082031,1600,0
-82.89469909667969,1600,0
-86.84040832519531,1600,0
-87.35073852539062,1600,0
-82.26180267333984,1600,0
-89.55767822265625,1600,0
-87.97921752929688,1600,0
-113.00239562988281,84,0
-87.96166229248047,1600,0
-94.71665954589844,1600,0
-108.51703643798828,77,0
-86.07193756103516,1600,0
-87.62928009033203,1600,0
-92.67424774169922,1600,0
-86.51141357421875,1600,0
-90.64657592773438,1600,0
-87.76883697509766,1600,0
-87.17662048339844,1600,0
-86.86640930175781,1600,0
-79.68583679199219,1600,0
-93.46417999267578,1600,0
-78.5035171508789,1600,0
-89.66496276855469,1600,0
-86.45640563964844,1600,0
-91.34359741210938,1600,0
-97.8878173828125,1600,0
-85.31375885009766,1600,0
-88.27489471435547,1600,0
-90.27069091796875,1600,0
-89.69123077392578,1600,0
-85.59439849853516,1600,0
-93.92562866210938,1600,0
-106.48651885986328,62,0
-80.68693542480469,1600,0
-84.26115417480469,1600,0
-93.23942565917969,1600,0
-83.391357421875,1600,0
-91.54069519042969,1600,0
-83.72223663330078,1600,0
-79.88617706298828,1600,0
-71.63619995117188,1600,0
-82.27418518066406,1600,0
-68.42691040039062,1600,0
-87.87619018554688,1600,0
-86.63106536865234,1600,0
-87.14464569091797,1600,0
-91.23385620117188,1600,0
-87.06511688232422,1600,0
-78.0880355834961,1600,0
-84.38858795166016,1600,0
-80.15132904052734,1600,0
-74.94869232177734,1600,0
-75.52490234375,1600,0
-68.82099914550781,1600,0
-83.59638977050781,1600,0
-78.88594818115234,1600,0
-77.29419708251953,1600,0
-80.28401947021484,1600,0
-77.56958770751953,1600,0
-78.90122985839844,1600,0
-74.73944854736328,1600,0
-74.0400619506836,1600,0
-73.48902893066406,1600,0
-72.98323822021484,1600,0
-112.30854797363281,73,0
-68.18748474121094,1600,0
-85.43000030517578,1600,0
-86.63032531738281,1600,0
-70.75492858886719,1600,0
-77.04180145263672,1600,0
-72.66848754882812,1600,0
-74.5521011352539,1600,0
-67.37779998779297,1600,0
-70.32453155517578,1600,0
-70.1873779296875,1600,0
-66.01477813720703,1600,0
-73.32830810546875,1600,0
-65.49627685546875,1600,0
-69.87870025634766,1600,0
-69.81674194335938,1600,0
-68.6842269897461,1600,0
-80.5345230102539,1600,0
-70.989990234375,1600,0
-66.04410552978516,1600,0
-79.28759002685547,1600,0
-74.44520568847656,1600,0
-65.3958969116211,1600,0
-76.22224426269531,1600,0
-74.10623168945312,1600,0
-70.72578430175781,1600,0
-63.97988510131836,1600,0
-69.74125671386719,1600,0
-67.91993713378906,1600,0
-66.09381103515625,1600,0
-64.22489929199219,1600,0
-72.28266906738281,1600,0
-69.8690414428711,1600,0
-58.96662139892578,1600,0
-60.52830123901367,1600,0
-66.0240707397461,1600,0
-69.42418670654297,1600,0
-66.1686019897461,1600,0
-56.12612533569336,1600,0
-63.37995910644531,1600,0
-59.550819396972656,1600,0
-65.4764404296875,1600,0
-61.97514343261719,1600,0
-68.5376205444336,1600,0
-58.96715545654297,1600,0
-61.483516693115234,1600,0
-62.29403305053711,1600,0
-63.64374923706055,1600,0
-60.27119445800781,1600,0
-56.58623504638672,1600,0
-51.27682876586914,1600,0
-62.410072326660156,1600,0
-60.53852462768555,1600,0
-60.20556640625,1600,0
-52.3469123840332,1600,0
-53.97929763793945,1600,0
-59.192989349365234,1600,0
-49.41948318481445,1600,0
-42.84467697143555,1600,0
-51.93326187133789,1600,0
-52.08030319213867,1600,0
-55.71747589111328,1600,0
-58.3217887878418,1600,0
-41.56067657470703,1600,0
-47.260738372802734,1600,0
-40.50794982910156,1600,0
-54.62725830078125,1600,0
-54.28504943847656,1600,0
-50.897193908691406,1600,0
-47.788509368896484,1600,0
-57.11769485473633,1600,0
-55.133914947509766,1600,0
-45.644561767578125,1600,0
-57.4442024230957,1600,0
-42.75202560424805,1600,0
-48.75859832763672,1600,0
-42.798500061035156,1600,0
-50.93507385253906,1600,0
-48.417640686035156,1600,0
-36.92738723754883,1600,0
-34.051292419433594,1600,0
-32.83150863647461,1600,0
-51.94386291503906,1600,0
-32.79179763793945,1600,0
-55.20626449584961,1600,0
-21.472896575927734,1600,0
-44.170013427734375,1600,0
-25.361488342285156,1600,0
-31.9190616607666,1600,0
-29.175874710083008,1600,0
-24.71610450744629,1600,0
-39.36628341674805,1600,0
-25.6416072845459,1600,0
-34.198978424072266,1600,0
-29.591957092285156,1600,0
-27.26017951965332,1600,0
-43.06243896484375,1600,0
-31.727657318115234,1600,0
-32.57597732543945,1600,0
-23.749921798706055,1600,0
-103.11546325683594,90,0
-27.87141227722168,1600,0
-26.791114807128906,1600,0
-37.82828140258789,1600,0
-28.419174194335938,1600,0
-28.159767150878906,1600,0
-12.383777618408203,1600,0
-28.77223777770996,1600,0
-25.159297943115234,1600,0
-24.80424690246582,1600,0
-14.015440940856934,1600,0
-27.08335304260254,1600,0
-15.177980422973633,1600,0
-23.01592254638672,1600,0
-19.857324600219727,1600,0
-35.573001861572266,1600,0
-21.091676712036133,1600,0
-9.572281837463379,1600,0
-25.052597045898438,1600,0
-13.282702445983887,1600,0
-21.929149627685547,1600,0
-12.232172012329102,1600,0
-25.282548904418945,1600,0
-14.482327461242676,1600,0
-1.728395700454712,1600,0
-27.63536834716797,1600,0
-16.624252319335938,1600,0
-0.6329770088195801,1600,0
-18.123329162597656,1600,0
-0.31788337230682373,1600,0
-0.6187078952789307,1600,0
-7.179944038391113,1600,0
4.99898099899292,1600,0
6.571787357330322,1600,0
-12.932692527770996,1600,0
-10.143620491027832,1600,0
