metric,value
device,cpu
parallel_mode,subproc_24_cpu
num_envs,24
planned_total_timesteps,3145728
actual_total_timesteps,3145728
hold_steps,10
damping_1,0.01
damping_2,0.1
training_wall_time_seconds,523.1568537499988
periodic_eval_count,11
early_stop_triggered,0
recent_episode_return_last_50,181.81313663959503
recent_episode_length_last_50,600.0
recent_success_rate_last_50,0.0
evaluation_average_return,203.84457981822754
evaluation_return_std,100.85729861913214
evaluation_average_length,600.0
evaluation_success_rate,0.0
evaluation_average_tip_height,0.17024086091382556
evaluation_average_theta1_error_deg,78.96433575744902
evaluation_average_theta2_error_deg,85.94970291372552
